"","nameTeam","namePlayer","number of games","stat","mean","standard deviation","median","trimmed","mad","min","max","range","skew","kurtosis","se","get this number or more"
"1","Orlando Magic","Aaron Gordon",13,"points",14.9231,5.6489,15,15.0909,4.4478,4,24,20,-0.4082,-0.748,1.5667,9.2742
"2","Indiana Pacers","Aaron Holiday",13,"points",5.9231,4.2123,6,5.5455,2.9652,0,16,16,0.9511,0.251,1.1683,1.7108
"3","Boston Celtics","Aaron Nesmith",5,"points",2.6,2.51,3,2.6,2.9652,0,5,5,-0.0941,-2.205,1.1225,0.0900000000000003
"4","Phoenix Suns","Abdel Nader",1,"points",2,NA,2,2,0,2,2,0,NA,NA,NA,NA
"5","Chicago Bulls","Adam Mokoka",6,"points",1.8333,2.0412,1.5,1.8333,2.2239,0,4,4,0.0675,-2.2337,0.8333,-0.2079
"6","Oklahoma City Thunder","Al Horford",9,"points",11.1111,6.4118,11,11.1111,5.9304,2,22,20,0.0984,-1.2378,2.1373,4.6993
"7","New York Knicks","Alec Burks",3,"points",20.6667,2.3094,22,20.6667,0,18,22,4,-0.3849,-2.3333,1.3333,18.3573
"8","Oklahoma City Thunder","Aleksej Pokusevski",11,"points",3.0909,3.2697,3,2.6667,4.4478,0,10,10,0.7226,-0.6992,0.9859,-0.1788
"9","Los Angeles Lakers","Alex Caruso",10,"points",5.8,2.9364,6.5,6.125,2.9652,0,9,9,-0.6294,-0.9933,0.9286,2.8636
"10","Toronto Raptors","Alex Len",7,"points",2.2857,3.9461,1,2.2857,1.4826,0,11,11,1.4502,0.4475,1.4915,-1.6604
"11","Los Angeles Lakers","Alfonzo McKinnie",9,"points",2.3333,2.7839,2,2.3333,2.9652,0,8,8,0.7759,-0.7789,0.928,-0.4506
"12","LA Clippers","Amir Coffey",10,"points",1.9,2.4698,0.5,1.625,0.7413,0,6,6,0.6205,-1.5673,0.781,-0.5698
"13","Cleveland Cavaliers","Andre Drummond",12,"points",19.25,6.8374,19,18.8,7.413,10,33,23,0.3147,-0.9386,1.9738,12.4126
"14","Miami Heat","Andre Iguodala",11,"points",3.9091,3.4192,3,3.7778,4.4478,0,9,9,0.2613,-1.5573,1.0309,0.4899
"15","Golden State Warriors","Andrew Wiggins",13,"points",17.7692,3.9823,17,17.4545,2.9652,12,27,15,0.6832,-0.1226,1.1045,13.7869
"16","Portland Trail Blazers","Anfernee Simons",11,"points",4.1818,3.8423,5,3.8889,4.4478,0,11,11,0.1817,-1.4634,1.1585,0.3395
"17","Los Angeles Lakers","Anthony Davis",13,"points",21.3077,5.8933,19,20.9091,2.9652,13,34,21,0.6528,-0.7318,1.6345,15.4144
"18","Minnesota Timberwolves","Anthony Edwards",12,"points",12.5,7.23,14,12.4,3.7065,0,26,26,-0.1693,-0.7312,2.0871,5.27
"19","Washington Wizards","Anthony Gill",4,"points",1.75,2.0616,1.5,1.75,2.2239,0,4,4,0.0749,-2.3519,1.0308,-0.3116
"20","Washington Wizards","Anzejs Pasecniks",1,"points",0,NA,0,0,0,0,0,0,NA,NA,NA,NA
"21","Toronto Raptors","Aron Baynes",10,"points",3.9,4.9318,2,3.25,2.9652,0,13,13,0.7742,-1.2025,1.5596,-1.0318
"22","New York Knicks","Austin Rivers",11,"points",8.7273,6.7096,8,8.1111,7.413,0,23,23,0.5922,-0.6021,2.023,2.0177
"23","Miami Heat","Avery Bradley",7,"points",10,5.9161,12,10,5.9304,0,16,16,-0.4967,-1.5033,2.2361,4.0839
"24","Miami Heat","Bam Adebayo",10,"points",19.5,6.4507,19.5,19.75,7.413,9,28,19,-0.1028,-1.4313,2.0399,13.0493
"25","Houston Rockets","Ben McLemore",6,"points",10.1667,6.8823,8.5,10.1667,6.6717,3,21,18,0.4124,-1.665,2.8097,3.2844
"26","Philadelphia 76ers","Ben Simmons",12,"points",12.25,3.4674,11.5,12.5,4.4478,5,17,12,-0.4205,-0.8175,1.0009,8.7826
"27","Charlotte Hornets","Bismack Biyombo",14,"points",7.5714,4.1826,7.5,7.3333,5.1891,2,16,14,0.3041,-1.1103,1.1179,3.3888
"28","Detroit Pistons","Blake Griffin",10,"points",12.9,5.7822,12.5,12.25,4.4478,5,26,21,0.8283,0.0735,1.8285,7.1178
"29","Dallas Mavericks","Boban Marjanovic",10,"points",4.2,3.8239,3,3.75,4.4478,0,12,12,0.6456,-0.8375,1.2092,0.3761
"30","Milwaukee Bucks","Bobby Portis",14,"points",10.9286,5.4556,11,10.9167,5.9304,2,20,18,-0.1038,-1.1571,1.4581,5.473
"31","Atlanta Hawks","Bogdan Bogdanovic",9,"points",9.8889,6.8455,7,9.8889,5.9304,2,22,20,0.4461,-1.4015,2.2818,3.0434
"32","Utah Jazz","Bojan Bogdanovic",14,"points",13.2857,7.8095,13,12.9167,10.3782,3,28,25,0.2721,-1.3404,2.0872,5.4762
"33","Denver Nuggets","Bol Bol",8,"points",1.75,2.0529,1,1.75,1.4826,0,5,5,0.3793,-1.7531,0.7258,-0.3029
"34","Golden State Warriors","Brad Wanamaker",13,"points",4.5385,3.4063,4,4.3636,2.9652,0,11,11,0.366,-1.1357,0.9447,1.1322
"35","Washington Wizards","Bradley Beal",10,"points",34.9,9.9716,31,32.75,4.4478,27,60,33,1.4884,1.1229,3.1533,24.9284
"36","Memphis Grizzlies","Brandon Clarke",13,"points",13.2308,4.6754,14,13.3636,4.4478,4,21,17,-0.1978,-0.8611,1.2967,8.5554
"37","Atlanta Hawks","Brandon Goodwin",11,"points",5.5455,4.156,5,5.1111,2.9652,0,15,15,0.8555,-0.1148,1.2531,1.3895
"38","New Orleans Pelicans","Brandon Ingram",13,"points",22.8462,5.5655,22,23,7.413,13,31,18,-0.018,-1.2263,1.5436,17.2807
"39","Indiana Pacers","Brian Bowen II",1,"points",3,NA,3,3,0,3,3,0,NA,NA,NA,NA
"40","Houston Rockets","Brodric Thomas",3,"points",1.6667,2.8868,0,1.6667,0,0,5,5,0.3849,-2.3333,1.6667,-1.2201
"41","Milwaukee Bucks","Brook Lopez",14,"points",9.7143,3.5394,8.5,9.4167,2.9652,6,17,11,0.7312,-0.9396,0.9459,6.1749
"42","Brooklyn Nets","Bruce Brown",11,"points",5.7273,5.5334,5,5.2222,4.4478,0,16,16,0.7318,-0.9355,1.6684,0.193899999999999
"43","Houston Rockets","Bruno Caboclo",6,"points",2.8333,2.7142,2.5,2.8333,3.7065,0,6,6,0.1454,-1.985,1.1081,0.1191
"44","Atlanta Hawks","Bruno Fernando",8,"points",1.75,2.1876,1,1.75,1.4826,0,5,5,0.5641,-1.5774,0.7734,-0.4376
"45","Milwaukee Bucks","Bryn Forbes",14,"points",7.5,5.5017,8,7.25,7.413,0,18,18,0.2664,-1.2737,1.4704,1.9983
"46","Sacramento Kings","Buddy Hield",14,"points",15.3571,5.2273,16,15.0833,5.1891,8,26,18,0.2949,-0.952,1.397,10.1298
"47","Portland Trail Blazers","CJ Elleby",6,"points",2.3333,1.3663,2.5,2.3333,0.7413,0,4,4,-0.4938,-1.193,0.5578,0.967
"48","Portland Trail Blazers","CJ McCollum",13,"points",26.6923,7.4429,26,26.0909,5.9304,16,44,28,0.8101,-0.0194,2.0643,19.2494
"49","Charlotte Hornets","Caleb Martin",13,"points",6.3077,4.6257,5,6.0909,4.4478,0,15,15,0.5227,-0.9449,1.2829,1.682
"50","Atlanta Hawks","Cam Reddish",11,"points",12.1818,6.2581,11,12.3333,5.9304,2,21,19,0.0528,-1.3794,1.8869,5.9237
