"","nameTeam","namePlayer","pts","ast","treb","PRA"
"1","Los Angeles Lakers","Anthony Davis",18,2,7,27
"2","Los Angeles Lakers","Markieff Morris",5,1,4,10
"3","LA Clippers","Nicolas Batum",3,6,6,15
"4","Los Angeles Lakers","LeBron James",22,5,5,32
"5","Los Angeles Lakers","Kentavious Caldwell-Pope",9,1,2,12
"6","Los Angeles Lakers","Kyle Kuzma",15,0,1,16
"7","LA Clippers","Amir Coffey",0,0,0,0
"8","LA Clippers","Reggie Jackson",0,0,1,1
"9","Los Angeles Lakers","Montrezl Harrell",17,3,10,30
"10","LA Clippers","Serge Ibaka",15,0,6,21
"11","LA Clippers","Ivica Zubac",11,1,6,18
"12","Los Angeles Lakers","Dennis Schroder",14,8,12,34
"13","LA Clippers","Terance Mann",0,0,0,0
"14","LA Clippers","Mfiondu Kabengele",0,0,0,0
"15","Los Angeles Lakers","Wesley Matthews",0,0,0,0
"16","LA Clippers","Lou Williams",11,3,2,16
"17","Los Angeles Lakers","Alex Caruso",3,1,2,6
"18","Los Angeles Lakers","Quinn Cook",0,0,0,0
"19","LA Clippers","Luke Kennard",4,2,2,8
"20","Los Angeles Lakers","Marc Gasol",0,1,1,2
"21","LA Clippers","Kawhi Leonard",26,3,2,31
"22","LA Clippers","Paul George",33,3,6,42
"23","Los Angeles Lakers","Talen Horton-Tucker",6,0,1,7
"24","LA Clippers","Patrick Patterson",3,1,3,7
"25","LA Clippers","Patrick Beverley",10,3,6,19
"26","Golden State Warriors","Damion Lee",3,2,7,12
"27","Brooklyn Nets","Timothe Luwawu-Cabarrot",5,0,2,7
"28","Brooklyn Nets","Caris LeVert",20,5,9,34
"29","Golden State Warriors","Kevon Looney",4,0,2,6
"30","Brooklyn Nets","Taurean Prince",1,0,1,2
"31","Golden State Warriors","Marquese Chriss",9,1,8,18
"32","Brooklyn Nets","Kevin Durant",22,3,5,30
"33","Brooklyn Nets","Reggie Perry",2,1,2,5
"34","Golden State Warriors","Juan Toscano-Anderson",4,2,4,10
"35","Brooklyn Nets","Tyler Johnson",0,0,1,1
"36","Golden State Warriors","Jordan Poole",2,3,2,7
"37","Brooklyn Nets","Jarrett Allen",8,2,7,17
"38","Golden State Warriors","Stephen Curry",20,10,4,34
"39","Golden State Warriors","Eric Paschall",6,0,1,7
